Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Sales_Amount,Profit
O1001,2026-01-05,C001,101,1,55000,6000.0
O1002,2026-01-08,C002,102,2,60000,8000.0
O1003,2026-01-12,C003,103,3,7500,1800.0
O1004,2026-01-18,C004,104,2,15000,2500.0
O1005,2026-01-23,C005,105,1,12000,2200.0
O1006,2026-02-03,C006,106,4,7200,1600.0
O1007,2026-02-09,C007,107,3,5400,1200.0
O1008,2026-02-15,C008,108,2,30000,5000.0
O1009,2026-02-20,C009,109,10,2500,700.0
O1010,2026-02-25,C010,110,8,2400,650.0
O1011,2026-03-02,C001,102,1,30000,4000.0
O1012,2026-03-08,C002,101,1,55000,6000.0
O1013,2026-03-14,C003,108,1,15000,2500.0
O1014,2026-03-19,C004,106,2,3600,800.0
O1015,2026-03-25,C005,103,5,12500,3000.0
O1016,2026-04-04,C006,105,2,24000,4400.0
O1017,2026-04-10,C007,104,1,7500,1200.0
O1018,2026-04-16,C008,107,4,7200,1600.0
O1019,2026-04-22,C009,102,1,30000,4000.0
O1020,2026-04-28,C010,101,1,55000,6000.0
O1021,2026-05-05,C001,108,2,30000,5000.0
O1022,2026-05-11,C002,104,2,15000,2500.0
O1023,2026-05-17,C003,105,1,12000,2200.0
O1024,2026-05-23,C004,106,3,5400,1200.0
O1025,2026-05-29,C005,103,4,10000,2400.0
O1026,2026-06-04,C006,101,1,55000,6000.0
O1027,2026-06-10,C007,102,2,60000,8000.0
O1028,2026-06-16,C008,109,12,3000,900.0
O1029,2026-06-22,C009,110,10,3000,800.0
O1030,2026-06-28,C010,107,2,3600,800.0
O1030,2026-06-28,C010,107,2,3600,800.0
O1032,2026-07-05,C001,108,1,15000,
